S03I4,IOWA STATE FAIR 2003,0,0,0,0,0,0,0,0,1,1,2,7,
SADI4,ADAIR CASEY,1768,2147,1256,8287,11724,5621,8381,7566,1615,6896,3323,4869,
SAEI4,ADM MS _ ADEL,19555,16173,17817,24263,25209,15709,16974,15460,20077,25640,19054,14800,
SAFI4,EAST UNION _ AFTON,4936,2113,1281,9426,14149,8628,14754,19821,18557,13906,10084,13979,
SAGI4,ALGONA,0,261,1333,7109,19240,13093,9187,9832,13028,25670,17980,19327,
SAKI4,CHRISTIAN ANKENY _ ANKENY,14734,9817,9788,5337,16799,7901,14514,8288,4040,6170,4803,4409,
SALI4,ALBIA LINCOLN CENTER,13751,11886,13755,11309,12215,5583,2080,7274,8275,10486,9865,9921,
SAMI4,NORTHWOOD ELEMENTARY _ AMES,34231,45918,48036,41648,46004,34785,31072,41256,35284,29058,40836,38800,
SATI4,ANITA,0,0,0,0,0,0,0,0,0,0,1631,1320,
SAUI4,AUDUBON COMMUN,901,724,6821,6854,14840,5591,3095,3531,1735,12284,3236,2129,
SBDI4,BEDFORD COMMUN,6035,4254,9781,7390,12053,1984,2649,7075,3764,5970,4010,1849,
SBKI4,BELMOND KLEMME,12463,9866,10507,9593,22462,9892,9046,2635,7487,17016,7107,4586,
SBMI4,DAVIS CO _ BLOOMFIELD,10772,4602,2470,8135,5155,2965,2045,3404,1451,1697,2688,2542,
SBOI4,UNITED COMMUNITY _ BOONE,25685,14670,7906,36301,44179,31231,33868,27894,20401,8650,6982,16788,
SBRI4,BGM ELEM _ BROOKLYN,1912,1210,3978,3567,4732,5082,988,2067,1929,1658,2568,1580,
SBZI4,DSM BLANK PARK ZOO,0,0,0,490,9600,2351,1172,2060,1566,2807,1530,1085,
SCAI4,KUEMPER CATHOLIC _ CARROLL,24826,17907,14481,8249,35683,22712,19980,23975,18173,17495,14808,20234,
SCBI4,COON RAPIDS _ BAYARD,2058,3088,1672,5567,6317,6185,3124,4084,2040,1626,9912,5001,
SCDI4,WAYNE COMMUN _ CORYDON,6146,3879,5157,5688,26074,6385,1884,4665,4216,5837,4232,1097,
SCEI4,CENTERVILLE,0,0,0,0,6839,4076,4609,4154,4204,4003,2870,4913,
SCGI4,CLARION GOLDFIELD _ CLARION,35928,17326,9870,11715,14201,15144,10603,4697,3274,3554,2331,5955,
SCHI4,VAN ALLEN ELEM _ CHARITON,4557,2993,3496,11509,6043,7482,5058,6111,1662,2813,3445,4963,
SCNI4,CORNING COMMUNITY _ CORNING,12254,10337,9590,8587,11005,3505,3367,3470,3545,4807,3122,8186,
SCOI4,COLO ELEM _ COLO,31140,35393,39107,60719,61846,4206,5928,41549,56449,39928,76497,66366,
SCSI4,CRESTON HS,14991,9181,7877,4659,21838,11893,13734,9650,6604,9460,6413,3701,
SDRI4,RIVER WOODS _ DES MOINES,14103,14954,14563,9025,5482,3427,2925,3758,1568,1419,3435,4301,
SEGI4,EAGLE GROVE,0,0,0,0,0,0,0,0,0,0,0,0,
SFAI4,PRAIRIE VALLEY _ FARNHAMVILLE,22406,21092,17543,8483,9603,3900,1846,3687,3976,4007,1937,3889,
SFDI4,FORT DODGE,0,0,0,6525,30630,18524,4950,8058,7779,9267,9240,8094,
